Level,Tier,Category,Data_layer,filename,initially_checked
1,Physically restricted,All categories,All data layers,Physically_restricted.bin,y
2,Physically restricted,Automatic exclusion,All data layers,Automatic_exclusion.bin,
3,Physically restricted,Automatic exclusion,Bodies of water,Bodies_of_water.bin,
2,Physically restricted,Built infrastructure constraints,All data layers,Built_infrastructure_constraints.bin,
3,Physically restricted,Built infrastructure constraints,Built up areas,Built_up_areas.bin,
3,Physically restricted,Built infrastructure constraints,National Grid infrastructure,National_Grid_infrastructure.bin,
3,Physically restricted,Built infrastructure constraints,Current rail network,Current_rail_network.bin,
3,Physically restricted,Built infrastructure constraints,Current major roads,Current_major_roads.bin,
1,Development restricted,All categories,All data layers,Development_restricted.bin,y
2,Development restricted,Wildlife sites of national and international importance ,All data layers,Wildlife_sites_of_national_and_international_importance_.bin,
3,Development restricted,Wildlife sites of national and international importance ,Ramsar,Ramsar.bin,
3,Development restricted,Wildlife sites of national and international importance ,Special areas of conservation,Special_areas_of_conservation.bin,
3,Development restricted,Wildlife sites of national and international importance ,Special protection areas,Special_protection_areas.bin,
3,Development restricted,Wildlife sites of national and international importance ,Sites of Special Scientific Interest,Sites_of_Special_Scientific_Interest.bin,
2,Development restricted,Heritage constraint,All data layers,Heritage_constraint.bin,
3,Development restricted,Heritage constraint,Registered parks and gardens,Registered_parks_and_gardens.bin,
3,Development restricted,Heritage constraint,Registered battlefields,Registered_battlefields.bin,
3,Development restricted,Heritage constraint,Scheduled monuments,Scheduled_monuments.bin,
3,Development restricted,Heritage constraint,World Heritage Sites,World_Heritage_Sites.bin,
3,Development restricted,Heritage constraint,World Heritage Buffer Zones,World_Heritage_Buffer_Zones.bin,
2,Development restricted,Greenbelt,All data layers,Greenbelt.bin,
3,Development restricted,Greenbelt,All greenbelt,All_greenbelt.bin,
1,Development limited,All categories,All data layers,Development_limited.bin,y
2,Development limited,Protected landscapes,All data layers,Protected_landscapes.bin,
3,Development limited,Protected landscapes,national parks,national_parks.bin,
2,Development limited,Wildlife sites ,All data layers,Wildlife_sites_.bin,
3,Development limited,Wildlife sites ,National nature reserves,National_nature_reserves.bin,
3,Development limited,Wildlife sites ,Local nature reserves,Local_nature_reserves.bin,
3,Development limited,Conservation areas,All Conservation areas,All_Conservation_areas.bin,
2,Development limited,Planned infrastructure sites,All data layers,Planned_infrastructure_sites.bin,
3,Development limited,Planned infrastructure sites,Nationally Significant Infrastructure Projects,Nationally_Significant_Infrastructure_Projects.bin,
3,Development limited,Planned infrastructure sites,HS2,HS2.bin,
2,Other suitability considerations,Flood risk ,All data layers,Flood_risk_.bin,
3,Other suitability considerations,Flood risk ,Flood zone 2,Flood_zone_2.bin,
3,Other suitability considerations,Flood risk ,Flood zone 3,Flood_zone_3.bin,
2,Other suitability considerations,Connectivity,All data layers,Connectivity.bin,
3,Other suitability considerations,Connectivity,within KM of BUA,within_KM_of_BUA.bin,
3,The whole of England,The whole of England,The whole of England,ENGLAND_100M.bin,
